,lsoa
1677,E01001717
1678,E01001718
1679,E01001719
1680,E01001720
1681,E01001722
1682,E01001723
1683,E01001724
1684,E01001725
1685,E01001726
1686,E01001727
1687,E01001728
1688,E01001729
1689,E01001730
1690,E01001731
1691,E01001732
1692,E01001733
1693,E01001734
1694,E01001735
1695,E01001736
1696,E01001737
1697,E01001738
1698,E01001739
1699,E01001740
1700,E01001741
1701,E01001742
1702,E01001744
1703,E01001745
1704,E01001746
1705,E01001747
1706,E01001748
1707,E01001749
1708,E01001750
1709,E01001751
1710,E01001752
1711,E01001753
1712,E01001754
1713,E01001755
1714,E01001756
1715,E01001757
1716,E01001758
1717,E01001759
1718,E01001760
1719,E01001761
1720,E01001762
1721,E01001763
1722,E01001764
1723,E01001765
1724,E01001767
1725,E01001768
1726,E01001769
1727,E01001770
1728,E01001772
1729,E01001773
1730,E01001774
1731,E01001775
1732,E01001776
1733,E01001777
1734,E01001779
1735,E01001780
1736,E01001781
1737,E01001782
1738,E01001783
1739,E01001784
