LSOA11CD,clusters_2021_cleanup_Commercial,clusters_2021_cleanup_Estates,clusters_2021_cleanup_Fences,clusters_2021_cleanup_High-density,clusters_2021_cleanup_Leafy green residential,clusters_2021_cleanup_Low-density,clusters_2021_cleanup_Open green space,clusters_2021_cleanup_Other green,clusters_2021_cleanup_Sheds,clusters_2021_cleanup_Terraced,clusters_2021_cleanup_Vehicles
E01000444,0,0,0,0,1,0,1,1,0,0,0
E01000445,0,0,0,0,1,1,0,1,1,0,0
E01000446,0,0,0,0,0,1,0,0,0,0,0
E01000447,1,0,0,0,0,0,1,0,0,0,0
E01000448,0,0,0,0,1,1,1,1,1,0,0
E01000449,0,0,0,0,1,1,1,1,1,0,0
E01000450,0,1,0,0,1,1,0,1,1,0,0
E01000451,0,0,0,0,1,1,1,1,1,0,0
E01000452,0,0,0,0,0,1,0,1,1,0,1
E01000453,1,0,1,0,1,1,0,1,1,0,1
E01000454,1,0,0,0,0,1,0,1,1,1,1
E01000455,1,0,0,0,1,1,0,0,0,0,1
E01000456,0,0,0,0,1,1,0,1,1,0,1
E01000457,1,1,0,0,0,0,0,0,0,0,0
E01000458,0,0,0,0,1,1,1,1,1,0,0
E01000459,1,0,0,1,1,1,0,0,1,0,0
E01000460,0,0,0,0,1,1,1,1,1,0,0
E01000461,0,0,0,0,1,1,1,1,1,0,0
E01000462,1,0,0,0,0,0,1,1,0,0,0
E01000463,0,0,0,0,1,1,0,1,1,0,0
E01000464,1,0,1,1,0,0,1,1,1,0,1
E01000465,0,1,1,1,0,0,1,1,1,0,1
E01000466,0,0,0,0,0,0,1,0,0,0,0
E01000467,0,1,1,1,1,1,1,1,1,0,0
E01000468,0,1,0,0,1,1,1,1,1,0,0
E01000469,0,1,0,0,0,0,1,0,1,0,0
E01000470,0,0,0,1,0,0,1,1,0,0,0
E01000471,0,0,0,0,1,1,1,1,1,1,1
E01000472,0,0,0,0,0,0,0,0,0,0,0
